"JobID","JobName","State","array_offset","slurm_array_task_id"
"18763469_2817","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2817"
"18763469_2818","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2818"
"18763469_2819","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2819"
"18763469_2820","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2820"
"18763469_2821","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2821"
"18763469_2822","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2822"
"18763469_2823","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2823"
"18763469_2824","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2824"
"18763469_2825","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2825"
"18763469_2826","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2826"
"18763469_2827","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2827"
"18763469_2828","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2828"
"18763469_2829","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2829"
"18763469_2830","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2830"
"18763469_2831","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2831"
"18763469_2832","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2832"
"18763469_4543","toar_regression_mda8_sub_19999","FAILED",19999,"4543"
"18763469_4614","toar_regression_mda8_sub_19999","FAILED",19999,"4614"
"18763469_4620","toar_regression_mda8_sub_19999","FAILED",19999,"4620"
"18763469_5623","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5623"
"18763469_5649","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5649"
"18763469_5650","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5650"
"18763469_5651","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5651"
"18763469_5652","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5652"
"18763469_5653","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5653"
"18763469_5654","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5654"
"18763469_5655","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5655"
"18763469_5656","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5656"
"18763469_5657","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5657"
"18763469_5658","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5658"
"18763469_5659","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5659"
"18763469_5660","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5660"
"18763469_5661","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5661"
"18763469_5662","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5662"
"18763469_5663","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5663"
"18763469_5664","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5664"
"18763469_5665","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5665"
"18763469_5666","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5666"
"18763469_5667","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5667"
"18763469_5668","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5668"
"18763469_5669","toar_regression_mda8_sub_19999","TIMEOUT",19999,"5669"
"18763469_6071","toar_regression_mda8_sub_19999","TIMEOUT",19999,"6071"
"18763469_6072","toar_regression_mda8_sub_19999","TIMEOUT",19999,"6072"
"18763469_6073","toar_regression_mda8_sub_19999","TIMEOUT",19999,"6073"
"18763469_6074","toar_regression_mda8_sub_19999","TIMEOUT",19999,"6074"
"18763469_6075","toar_regression_mda8_sub_19999","TIMEOUT",19999,"6075"
"18763469_6076","toar_regression_mda8_sub_19999","TIMEOUT",19999,"6076"
